ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
064350,현대로템,2026-06-24,2026_Q2,변동성 장세,up,0.9814049586776896,195500.0,88160968750.0,172328943810.77194,거래대금약함,수급엇갈림,316304.0,-182159.0,-135143.0,DART공시동반,1,2026-06-19 단일판매ㆍ공급계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
100790,미래에셋벤처투자,2026-06-24,2026_Q2,변동성 장세,down,-1.2315270935960632,20050.0,20489656160.0,197730877044.29825,거래대금약함,외국인기관동반매수,1396669.0,63412.0,-1428892.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
222800,심텍,2026-06-24,2026_Q2,변동성 장세,down,-2.3236514522821605,117700.0,61042122550.0,93432536060.08772,거래대금약함,수급엇갈림,-243076.0,437447.0,-245853.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
319400,현대무벡스,2026-06-24,2026_Q2,변동성 장세,up,2.0484171322160183,27400.0,20905421000.0,108236172219.73685,거래대금약함,외국인기관동반매수,155522.0,90528.0,-244430.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
089030,테크윙,2026-06-24,2026_Q2,변동성 장세,down,-4.9523809523809526,49900.0,75592204775.0,112785450440.35088,거래대금약함,수급엇갈림,-180629.0,122150.0,74530.0,DART공시동반,1,2026-06-23 [기재정정]사업보고서 (2025.12),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
007660,이수페타시스,2026-06-24,2026_Q2,변동성 장세,down,-0.7400555041628176,107300.0,74957511150.0,178452005916.66666,거래대금약함,외국인기관동반매수,161576.0,226567.0,-375694.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
001740,SK네트웍스,2026-06-24,2026_Q2,변동성 장세,down,-1.6511867905056765,9530.0,56334545250.0,139727971743.77194,거래대금약함,외국인기관동반매수,1578605.0,293320.0,-1907569.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
178320,서진시스템,2026-06-24,2026_Q2,변동성 장세,down,-2.1164021164021163,55500.0,90785300450.0,151706877976.8421,거래대금약함,수급엇갈림,1974708.0,-1397857.0,-589073.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
279570,케이뱅크,2026-06-24,2026_Q2,변동성 장세,down,-2.975206611570247,5870.0,15890990200.0,26417205831.05263,거래대금약함,수급엇갈림,-584905.0,2193070.0,-1535512.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
018260,삼성에스디에스,2026-06-24,2026_Q2,변동성 장세,down,-0.9394572025052228,189800.0,69896796350.0,154163495467.85965,거래대금약함,수급엇갈림,205816.0,-99587.0,-114549.0,DART공시동반,1,2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
454910,두산로보틱스,2026-06-24,2026_Q2,변동성 장세,up,6.981981981981988,95000.0,104589928450.0,186740941654.38596,거래대금약함,외국인기관동반매수,113077.0,18242.0,-134219.0,주변공시부재,0,,직접반응,,,ok,,True,,NEW-20260501-H05,1.0,신규조건 매수 후보,신규 조건 관찰: 다음 거래일 분할 진입 가능성 검토,next_open,20.0,15.02779553059456,0.75,"기존 active에는 없고, 표본은 제한적이지만 여러 종목에서 양의 점수와 높은 적중률이 확인됨",exact,외국인기관동반매수
098460,고영,2026-06-24,2026_Q2,변동성 장세,down,-1.1146496815286677,31050.0,40523353775.0,145749665972.3684,거래대금약함,수급엇갈림,795157.0,-231816.0,-570057.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
307950,현대오토에버,2026-06-24,2026_Q2,변동성 장세,down,-1.0909090909090868,544000.0,55768435000.0,158317419355.26315,거래대금약함,수급엇갈림,95892.0,-51010.0,-39953.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
090360,로보스타,2026-06-24,2026_Q2,변동성 장세,up,8.896797153024917,91800.0,52600980450.0,53969394302.63158,거래대금약함,외국인기관동반매수,65670.0,25647.0,-133197.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
457370,한켐,2026-06-24,2026_Q2,변동성 장세,down,-7.10479573712256,10460.0,5937821425.0,18825013129.385963,거래대금약함,외국인기관동반매수,250518.0,14917.0,-262413.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
