signal_date,pattern_id,pattern_name,category,prediction_direction,confidence,basis,open,high,low,close,volume,trade_amount,ticker,name
2026-02-23,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,194400.0,197600.0,190500.0,193000.0,26364684.0,5107749420482.0,005930,삼성전자
2026-02-23,single_high_wave,하이웨이브 캔들,단일 캔들 패턴,neutral,65,작은 몸통과 긴 위아래 꼬리로 변동성 확대,194400.0,197600.0,190500.0,193000.0,26364684.0,5107749420482.0,005930,삼성전자
2026-02-23,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,194400.0,197600.0,190500.0,193000.0,26364684.0,5107749420482.0,005930,삼성전자
2026-02-23,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,194400.0,197600.0,190500.0,193000.0,26364684.0,5107749420482.0,005930,삼성전자
2026-02-24,bullish_engulfing,상승 장악형,추세 반전형,up,80,음봉 몸통을 다음 양봉이 감쌈,193000.0,200000.0,192000.0,200000.0,28060617.0,5538097526208.0,005930,삼성전자
2026-02-24,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,193000.0,200000.0,192000.0,200000.0,28060617.0,5538097526208.0,005930,삼성전자
2026-02-25,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,202500.0,206000.0,201000.0,203500.0,26987996.0,5474225346566.0,005930,삼성전자
2026-02-25,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,202500.0,206000.0,201000.0,203500.0,26987996.0,5474225346566.0,005930,삼성전자
2026-02-25,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,202500.0,206000.0,201000.0,203500.0,26987996.0,5474225346566.0,005930,삼성전자
2026-02-25,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,202500.0,206000.0,201000.0,203500.0,26987996.0,5474225346566.0,005930,삼성전자
2026-02-26,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,206500.0,219000.0,206000.0,218000.0,30095763.0,6451865963088.0,005930,삼성전자
2026-02-26,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,206500.0,219000.0,206000.0,218000.0,30095763.0,6451865963088.0,005930,삼성전자
2026-02-27,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,210000.0,223000.0,210000.0,216500.0,51774768.0,11194972800735.0,005930,삼성전자
2026-03-03,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,209500.0,212500.0,195100.0,195100.0,54879010.0,11170451485750.0,005930,삼성전자
2026-03-03,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,209500.0,212500.0,195100.0,195100.0,54879010.0,11170451485750.0,005930,삼성전자
2026-03-04,three_outside_down,쓰리 아웃사이드 다운,추세 반전형,down,82,하락 장악형 뒤 추가 하락 확인,184200.0,195900.0,171900.0,172200.0,89427954.0,16229744915194.0,005930,삼성전자
2026-03-04,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,184200.0,195900.0,171900.0,172200.0,89427954.0,16229744915194.0,005930,삼성전자
2026-03-04,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,184200.0,195900.0,171900.0,172200.0,89427954.0,16229744915194.0,005930,삼성전자
2026-03-05,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,195000.0,199700.0,188100.0,191600.0,53959129.0,10462445865266.0,005930,삼성전자
2026-03-06,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,186100.0,189700.0,181000.0,188200.0,29522650.0,5496089060945.0,005930,삼성전자
2026-03-09,falling_window,폴링 윈도우,추세 지속형,down,70,전일 저가 아래로 하락 갭 형성,173500.0,175500.0,167300.0,173500.0,43066020.0,7376525851300.0,005930,삼성전자
2026-03-09,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,173500.0,175500.0,167300.0,173500.0,43066020.0,7376525851300.0,005930,삼성전자
2026-03-09,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,173500.0,175500.0,167300.0,173500.0,43066020.0,7376525851300.0,005930,삼성전자
2026-03-09,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,173500.0,175500.0,167300.0,173500.0,43066020.0,7376525851300.0,005930,삼성전자
2026-03-10,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-10,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-10,single_long_legged_doji,롱레그드 도지,단일 캔들 패턴,neutral,70,긴 위아래 꼬리를 가진 도지,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-10,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-10,single_high_wave,하이웨이브 캔들,단일 캔들 패턴,neutral,65,작은 몸통과 긴 위아래 꼬리로 변동성 확대,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-10,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,187600.0,191500.0,184300.0,187900.0,33530170.0,6302732324178.0,005930,삼성전자
2026-03-11,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,193000.0,194800.0,187700.0,190000.0,24311356.0,4666941226006.0,005930,삼성전자
2026-03-12,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,186600.0,190000.0,185900.0,187900.0,20440753.0,3832551376350.0,005930,삼성전자
2026-03-16,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,184600.0,189000.0,183600.0,188700.0,19747901.0,3683740429900.0,005930,삼성전자
2026-03-17,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,198000.0,198000.0,193100.0,193900.0,20300082.0,3978920227090.0,005930,삼성전자
2026-03-17,bearish_belt_hold,하락 벨트홀드,추세 반전형,down,72,상승 뒤 고가 부근 시가에서 강하게 하락,198000.0,198000.0,193100.0,193900.0,20300082.0,3978920227090.0,005930,삼성전자
2026-03-17,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,198000.0,198000.0,193100.0,193900.0,20300082.0,3978920227090.0,005930,삼성전자
2026-03-17,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,198000.0,198000.0,193100.0,193900.0,20300082.0,3978920227090.0,005930,삼성전자
2026-03-17,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,198000.0,198000.0,193100.0,193900.0,20300082.0,3978920227090.0,005930,삼성전자
2026-03-18,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,200500.0,209000.0,199700.0,208500.0,25148481.0,5153010769813.0,005930,삼성전자
2026-03-18,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,200500.0,209000.0,199700.0,208500.0,25148481.0,5153010769813.0,005930,삼성전자
2026-03-18,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,200500.0,209000.0,199700.0,208500.0,25148481.0,5153010769813.0,005930,삼성전자
2026-03-19,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,199900.0,205000.0,199600.0,200500.0,19884483.0,4004086336015.0,005930,삼성전자
2026-03-19,reversal_shooting_star,유성형,추세 반전형,down,70,상승 흐름 뒤 긴 위꼬리,199900.0,205000.0,199600.0,200500.0,19884483.0,4004086336015.0,005930,삼성전자
2026-03-20,evening_star,석별형,추세 반전형,down,82,"큰 양봉 뒤 작은 몸통, 다음 음봉 이탈",202000.0,202500.0,199000.0,199400.0,35279762.0,7019725077866.0,005930,삼성전자
2026-03-20,three_inside_down,쓰리 인사이드 다운,추세 반전형,down,82,하락 잉태형 뒤 확인 음봉,202000.0,202500.0,199000.0,199400.0,35279762.0,7019725077866.0,005930,삼성전자
2026-03-20,bearish_engulfing,하락 장악형,추세 반전형,down,80,양봉 몸통을 다음 음봉이 감쌈,202000.0,202500.0,199000.0,199400.0,35279762.0,7019725077866.0,005930,삼성전자
2026-03-20,bearish_counterattack,하락 반격형,추세 반전형,down,65,상승 후 반대 음봉이 전일 종가 부근까지 밀림,202000.0,202500.0,199000.0,199400.0,35279762.0,7019725077866.0,005930,삼성전자
2026-03-20,bearish_separating_line,하락 갈림길형,추세 지속형,down,65,같은 시가 부근에서 음봉 전환,202000.0,202500.0,199000.0,199400.0,35279762.0,7019725077866.0,005930,삼성전자
2026-03-23,three_outside_down,쓰리 아웃사이드 다운,추세 반전형,down,82,하락 장악형 뒤 추가 하락 확인,190500.0,191200.0,186300.0,186300.0,30268173.0,5706605720650.0,005930,삼성전자
2026-03-23,falling_window,폴링 윈도우,추세 지속형,down,70,전일 저가 아래로 하락 갭 형성,190500.0,191200.0,186300.0,186300.0,30268173.0,5706605720650.0,005930,삼성전자
2026-03-23,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,190500.0,191200.0,186300.0,186300.0,30268173.0,5706605720650.0,005930,삼성전자
2026-03-24,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,195500.0,196000.0,185500.0,189700.0,25458914.0,4835356609343.0,005930,삼성전자
2026-03-26,three_black_crows,흑삼병,추세 지속형,down,85,연속 3개 강한 음봉,185500.0,185900.0,178900.0,180100.0,32074131.0,5841688287442.0,005930,삼성전자
2026-03-26,falling_window,폴링 윈도우,추세 지속형,down,70,전일 저가 아래로 하락 갭 형성,185500.0,185900.0,178900.0,180100.0,32074131.0,5841688287442.0,005930,삼성전자
