signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-07-06,178320,서진시스템,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,491145,669521,714618,35.27,46950,2026-07-07,47000,0.11,45750,-2.56,,,,,,,보합,"D+1(2026-07-07) 시가 +0.11%, 종가 -2.56%"
2026-07-06,010170,대한광통신,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,518987,1485763,1467536,9.89,11330,2026-07-07,11180,-1.32,10960,-3.27,,,,,,,보합,"D+1(2026-07-07) 시가 -1.32%, 종가 -3.27%"
2026-07-06,214450,파마리서치,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,13201,33529,-2681,7.34,314000,2026-07-07,311000,-0.96,340500,8.44,,,,,,,상승 지속,"D+1(2026-07-07) 시가 -0.96%, 종가 +8.44%"
2026-07-06,084370,유진테크,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,34006,93656,106590,10.35,157500,2026-07-07,159300,1.14,146100,-7.24,,,,,,,하락 전환,"D+1(2026-07-07) 시가 +1.14%, 종가 -7.24%"
2026-07-06,058470,리노공업,foreign_buy_streak_6,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct",6,3733,174843,1247248,0.55,74900,2026-07-07,74400,-0.67,71900,-4.01,,,,,,,보합,"D+1(2026-07-07) 시가 -0.67%, 종가 -4.01%"
2026-07-06,440110,파두,foreign_buy_streak_5,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",5,79971,227517,460936,11.87,72600,2026-07-07,70500,-2.89,70000,-3.58,,,,,,,보합,"D+1(2026-07-07) 시가 -2.89%, 종가 -3.58%"
2026-07-06,247540,에코프로비엠,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,33499,73124,68178,8.62,121700,2026-07-07,120600,-0.90,120200,-1.23,,,,,,,보합,"D+1(2026-07-07) 시가 -0.90%, 종가 -1.23%"
2026-07-06,043260,성호전자,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,311951,749379,898273,14.22,21250,2026-07-07,20650,-2.82,19400,-8.71,,,,,,,하락 전환,"D+1(2026-07-07) 시가 -2.82%, 종가 -8.71%"
2026-07-07,002990,금호건설,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,54397,67068,44824,0.16,14000,2026-07-08,14000,0.00,14000,0.00,,,,,,,보합,"D+1(2026-07-08) 시가 +0.00%, 종가 +0.00%"
2026-07-07,006400,삼성SDI,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,26842,57681,42100,5.52,445000,2026-07-08,433000,-2.70,412000,-7.42,,,,,,,하락 전환,"D+1(2026-07-08) 시가 -2.70%, 종가 -7.42%"
